Type;ID;X;Y;Z
1;1;35.8595;0;0
1;1;10.172;0;-34.3865
1;1;-30.0886;0;-19.5083
1;1;-27.242;0;23.319
1;1;14.6336;0;32.7377
1;1;35.544;0;-4.74606
1;1;5.53137;0;-35.4303
1;1;-32.4059;0;-15.3544
1;1;-23.916;0;26.7194
1;1;18.8378;0;30.5129
1;1;34.6032;0;-9.40862
1;1;0.793453;0;-35.8507
1;1;-34.153;0;-10.9303
1;1;-20.1693;0;29.6496
1;1;22.7105;0;27.7513
1;1;33.0535;0;-13.9056
1;1;-3.95843;0;-35.6403
1;1;-35.2992;0;-6.31398
1;1;-16.0677;0;32.0582
1;1;26.1836;0;24.5014
1;1;30.9223;0;-18.158
1;1;-8.64066;0;-34.8029
1;1;-35.8243;0;-1.58652
1;1;-11.6834;0;33.9028
1;1;29.1961;0;20.8204
1;1;28.247;0;-22.0909
1;1;-13.1709;0;-33.3531
1;1;-35.7192;0;3.16885
1;1;-7.09349;0;35.1509
1;1;31.6949;0;16.7731
1;1;25.0748;0;-25.6351
1;1;-17.4693;0;-31.3165
1;1;-34.9855;0;7.86847
1;1;-2.37881;0;35.7805
1;1;33.636;0;12.4307
1;1;21.4613;0;-28.7283
1;1;-21.4605;0;-28.7289
1;1;-33.6364;0;12.4296
1;1;2.37773;0;35.7805
1;1;34.9853;0;7.86952
1;1;17.4703;0;-31.316
1;1;-25.074;0;-25.6358
1;1;-31.6954;0;16.7721
1;1;7.09243;0;35.1511
1;1;35.7191;0;3.16993
1;1;13.1719;0;-33.3527
1;1;-28.2463;0;-22.0917
1;1;-29.1967;0;20.8195
1;1;11.6823;0;33.9031
1;1;35.8244;0;-1.58544
1;1;8.64171;0;-34.8026
1;1;-30.9217;0;-18.1589
1;1;-26.1844;0;24.5006
1;1;16.0667;0;32.0587
1;1;35.2994;0;-6.31291
1;1;3.9595;0;-35.6402
1;1;-33.0531;0;-13.9066
1;1;-22.7113;0;27.7506
1;1;20.1684;0;29.6502
1;1;34.1533;0;-10.9293
1;1;-0.792373;0;-35.8507
1;1;-34.6029;0;-9.40966
1;1;-18.8387;0;30.5124
1;1;23.9152;0;26.7201
1;1;32.4064;0;-15.3534
1;1;-5.5303;0;-35.4304
1;1;-35.5438;0;-4.74713
1;1;-14.6346;0;32.7373
1;1;27.2413;0;23.3198
1;1;30.0892;0;-19.5074
1;1;-10.1709;0;-34.3868
1;1;-35.8595;0;-0.00108096
1;1;-10.173;0;34.3862
1;1;33.8595;0;0
1;1;9.60465;0;-32.4687
1;1;-28.4105;0;-18.4203
1;1;-25.7226;0;22.0184
1;1;13.8174;0;30.9118
1;1;33.5616;0;-4.48136
1;1;5.22287;0;-33.4542
1;1;-30.5985;0;-14.498
1;1;-22.5822;0;25.2291
1;1;17.7871;0;28.8111
1;1;32.6732;0;-8.88387
1;1;0.7492;0;-33.8512
1;1;-32.2482;0;-10.3207
1;1;-19.0444;0;27.996
1;1;21.4438;0;26.2035
1;1;31.21;0;-13.1301
1;1;-3.73765;0;-33.6525
1;1;-33.3305;0;-5.96182
1;1;-15.1715;0;30.2702
1;1;24.7233;0;23.1349
1;1;29.1976;0;-17.1453
1;1;-8.15874;0;-32.8618
1;1;-33.8263;0;-1.49803
1;1;-11.0317;0;32.0119
1;1;27.5677;0;19.6592
1;1;26.6716;0;-20.8588
1;1;-12.4363;0;-31.4929
1;1;-33.727;0;2.99212
1;1;-6.69786;0;33.1904
1;1;29.9271;0;15.8376
1;1;23.6763;0;-24.2053
1;1;-16.495;0;-29.5699
1;1;-33.0343;0;7.42962
1;1;-2.24613;0;33.7849
1;1;31.76;0;11.7374
1;1;20.2643;0;-27.126
1;1;-20.2635;0;-27.1266
1;1;-31.7603;0;11.7364
1;1;2.24511;0;33.7849
1;1;33.0341;0;7.43062
1;1;16.4959;0;-29.5694
1;1;-23.6755;0;-24.206
1;1;-29.9276;0;15.8367
1;1;6.69686;0;33.1906
1;1;33.7269;0;2.99313
1;1;12.4372;0;-31.4925
1;1;-26.671;0;-20.8596
1;1;-27.5683;0;19.6583
1;1;11.0308;0;32.0123
1;1;33.8263;0;-1.49701
1;1;8.15973;0;-32.8615
1;1;-29.1971;0;-17.1461
1;1;-24.724;0;23.1341
1;1;15.1706;0;30.2707
1;1;33.3306;0;-5.96082
1;1;3.73867;0;-33.6524
1;1;-31.2096;0;-13.131
1;1;-21.4446;0;26.2029
1;1;19.0435;0;27.9965
1;1;32.2485;0;-10.3197
1;1;-0.748179;0;-33.8512
1;1;-32.673;0;-8.88485
1;1;-17.788;0;28.8106
1;1;22.5814;0;25.2298
1;1;30.599;0;-14.4971
1;1;-5.22186;0;-33.4544
1;1;-33.5615;0;-4.48237
1;1;-13.8184;0;30.9114
1;1;25.722;0;22.0192
1;1;28.4111;0;-18.4194
1;1;-9.60367;0;-32.4689
1;1;-33.8595;0;-0.00102067
1;1;-9.60563;0;32.4684
1;1;31.8595;0;0
1;1;9.03732;0;-30.5508
1;1;-26.7324;0;-17.3322
1;1;-24.2032;0;20.7178
1;1;13.0013;0;29.0859
1;1;31.5792;0;-4.21665
1;1;4.91437;0;-31.4781
1;1;-28.7911;0;-13.6417
1;1;-21.2483;0;23.7389
1;1;16.7365;0;27.1093
1;1;30.7433;0;-8.35912
1;1;0.704946;0;-31.8517
1;1;-30.3434;0;-9.7111
1;1;-17.9195;0;26.3423
1;1;20.1772;0;24.6557
