Number;Type;X;Y;Z
1;2;29.000000;0.000000;0.000000
1;2;-12.068258;0.000000;26.369625
1;2;-18.955665;0.000000;-21.947272
1;2;27.844938;0.000000;-8.103049
1;2;-4.219501;0.000000;28.691389
1;2;-24.333074;0.000000;-15.776612
1;2;24.471765;0.000000;-15.560615
1;2;3.965379;0.000000;28.727613
1;2;-27.772125;0.000000;-8.349196
1;2;19.149185;0.000000;-21.778630
1;2;11.834380;0.000000;26.475412
1;2;-28.998864;0.000000;-0.256688
1;2;12.301191;0.000000;-26.261772
1;2;18.760660;0.000000;22.114195
1;2;-27.915570;0.000000;7.856268
1;2;4.473292;0.000000;-28.652917
1;2;24.192477;0.000000;15.991374
1;2;-24.608538;0.000000;15.343398
1;2;-3.710947;0.000000;-28.761587
1;2;27.697136;0.000000;8.594689
1;2;-19.341204;0.000000;21.608282
1;2;-11.599574;0.000000;-26.579125
1;2;28.995456;0.000000;0.513356
1;2;-12.533160;0.000000;26.151862
1;2;-18.564186;0.000000;-22.279385
1;2;27.984015;0.000000;-7.608871
1;2;-4.726733;0.000000;28.612200
1;2;-24.049985;0.000000;-16.204882
1;2;24.743383;0.000000;-15.124979
1;2;3.456224;0.000000;28.793307
1;2;-27.619976;0.000000;-8.839508
1;2;19.531708;0.000000;-21.436240
1;2;11.363860;0.000000;26.680755
1;2;-28.989776;0.000000;-0.769983
1;2;12.764148;0.000000;-26.039903
1;2;18.366257;0.000000;22.442830
1;2;-28.050267;0.000000;7.360878
1;2;4.979803;0.000000;-28.569242
1;2;23.905609;0.000000;16.417121
1;2;-24.876290;0.000000;14.905375
1;2;-3.201230;0.000000;-28.822771
1;2;27.540653;0.000000;9.083635
1;2;-19.720681;0.000000;21.262519
1;2;-11.127255;0.000000;-26.780295
1;2;28.981825;0.000000;1.026551
1;2;-12.994135;0.000000;25.925903
1;2;-18.166889;0.000000;-22.604516
1;2;28.114322;0.000000;-7.112308
1;2;-5.232483;0.000000;28.524045
1;2;-23.759359;0.000000;-16.628074
1;2;25.007247;0.000000;-14.684604
1;2;2.945985;0.000000;28.849977
1;2;-27.459172;0.000000;-9.327050
1;2;19.908110;0.000000;-21.087133
1;2;10.889778;0.000000;26.877737
1;2;-28.971604;0.000000;-1.283038
1;2;13.223104;0.000000;-25.809873
1;2;17.966098;0.000000;22.764431
1;2;-28.176174;0.000000;6.863180
1;2;5.484753;0.000000;-28.476613
1;2;23.611248;0.000000;16.837724
1;2;-25.136246;0.000000;14.462681
1;2;-2.690510;0.000000;-28.874923
1;2;27.375540;0.000000;9.569734
1;2;-20.093979;0.000000;20.910094
1;2;-10.651449;0.000000;-26.973073
1;2;28.959112;0.000000;1.539424
1;2;-13.451037;0.000000;25.691820
1;2;-17.763899;0.000000;-22.922563
